keyword,search_volume,cpc,competition,arbitrage_score,blueprint_title_idea,blueprint_content_angle,blueprint_monetization_hint,customer_domain,customer_da_keyword_count_top10,customer_da_traffic
orlando emergency plumber,480,73.41,0.38999998569488525,407.165646,Emergency Orlando Emergency Plumber: 24/7 Fast Response,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
emergency plumber orlando,480,63.7,0.8500000238418579,182.606635,Emergency Emergency Plumber Orlando: 24/7 Fast Response,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
emergency plumber orlando fl,480,63.7,0.8500000238418579,182.606635,Emergency Emergency Plumber Orlando Fl: 24/7 Fast Response,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
emergency plumbing orlando,480,63.7,0.8500000238418579,182.606635,Emergency Emergency Plumbing Orlando: 24/7 Fast Response,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
24 hour plumber orlando,40,76.92,0.5899999737739563,180.916695,24 Hour Plumber Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
24 hour plumber orlando fl,40,76.92,0.5899999737739563,180.916695,24 Hour Plumber Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
leak detection in orlando,260,45.0,0.6600000262260437,146.169434,Leak Detection In Orlando Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber orlando,4400,21.03,0.5699999928474426,119.7989,Plumber Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando plumber,4400,21.03,0.5699999928474426,119.7989,Orlando Plumber Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber in orlando fl,4400,21.03,0.5699999928474426,119.7989,Plumber In Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
